"","Y2018 Unit Sales by Model","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Model","","Jan.","Feb.","Mar.","Apr.","May.","Jun.","Jul.","Aug.","Sep.","Oct.","Nov.","Dec.","Total"
"","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","Domestic","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","",""
"","PC","Accent (RB)","  523 ","  427 ","  574 ","  564 ","  387 ","  519 ","  322 ","520 ","398 ","509 ","489 ","466 ","5,698 "
"","","Avante (AD)","  5,677 ","  5,807 ","  5,928 ","  5,898 ","  6,565 ","  5,928 ","  7,522 ","8,136 ","5,488 ","7,228 ","6,243 ","5,411 ","75,831 "
"","","IONIQ (AE HEV)","  207 ","  322 ","  201 ","  353 ","  259 ","  205 ","  158 ","357 ","243 ","340 ","472 ","545 ","3,662 "
"","","IONIQ (AE PHEV)","  5 ","  11 ","  10 ","  14 ","  7 ","  7 ","  7 ","18 ","15 ","18 ","28 ","18 ","158 "
"","","IONIQ (AE EV)","  1,086 ","  949 ","  886 ","  485 ","  548 ","  534 ","  252 ","113 ","102 ","183 ","187 ","281 ","5,606 "
"","","i30 (GD)","","","","","","","","","","","","","0"
"","","i30 (PD)","  301 ","  304 ","  337 ","  265 ","  231 ","  236 ","  201 ","  272 ","203 ","  279 ","301 ","295 ","3,225 "
"","","Veloster (JS)","","  109 ","  279 ","  435 ","  335 ","  312 ","  312 ","237 ","243 ","250 ","190 ","396 ","3,098 "
"","","Veloster (JS N)","","","","","","  15 ","","444 ","260 ","157 ","78 ","202 ","1,156 "
"","","Sonata (LF)","  5,230 ","  4,781 ","  5,377 ","  5,365 ","  5,191 ","  4,941 ","  5,610 ","5,541 ","4,147 ","5,993 ","4,909 ","4,639 ","61,724 "
"","","Sonata (HEV)","  289 ","  294 ","  304 ","  333 ","  347 ","  302 ","  338 ","333 ","244 ","323 ","416 ","545 ","4,068 "
"","","Sonata (PHEV)","  1 ","  4 ","  4 ","  1 ","  4 ","  2 ","","7 ","5 ","10 ","10 ","6 ","54 "
"","","i40 (VF)","  14 ","  17 ","  8 ","  28 ","  13 ","  8 ","  20 ","24 ","14 ","20 ","30 ","17 ","213 "
"","","Grandeur (HG)","","","","","","","","","","","","","0"
"","","Grandeur (IG)","  7,662 ","  7,359 ","  8,653 ","  8,176 ","  7,915 ","  6,674 ","  6,567 ","  7,600 ","  5,564 ","  6,737 ","7,614 ","8,012 ","88,533 "
"","","Grandeur (HEV)","  1,939 ","  1,625 ","  1,945 ","  1,728 ","  2,521 ","  2,271 ","  2,004 ","1,305 ","1,946 ","2,300 ","2,577 ","2,407 ","24,568 "
"","","Aslan","  20 ","","","","","","","","","","","","20 "
"","","G70","  1,418 ","  1,062 ","  1,233 ","  1,103 ","  967 ","  1,035 ","  890 ","1,138 ","1,024 ","1,406 ","1,550 ","1,591 ","14,417 "
"","","G80","  4,047 ","  3,055 ","  3,618 ","  3,132 ","  2,976 ","  3,116 ","  2,621 ","2,982 ","2,767 ","3,411 ","2,889 ","2,605 ","37,219 "
"","","EQ900","  939 ","  843 ","  992 ","  913 ","  836 ","  622 ","  501 ","405 ","328 ","309 ","882 ","2,139 ","9,709 "
"","","Sub-total","29,358 ","26,969 ","30,349 ","28,793 ","29,102 ","26,727 ","27,325 ","29,432 ","22,991 ","29,473 ","28,865 ","29,575 ","338,959 "
"","","","","","","","","","","","","","","",""
"","RV","Kona ","  3,507 ","  3,366 ","  4,098 ","  3,490 ","  3,437 ","  2,938 ","  3,600 ","3,346 ","2,434 ","2,902 ","2,652 ","3,505 ","39,275 "
"","","Kona (EV)","","","","","  304 ","  1,076 ","  1,317 ","648 ","1,382 ","2,473 ","2,906 ","1,087 ","11,193 "
"","","Tucson (TL)","  2,796 ","  2,766 ","  3,390 ","  2,703 ","  2,966 ","  3,237 ","  2,973 ","4,148 ","3,704 ","4,865 ","4,280 ","4,778 ","42,606 "
"","","Tucson (LMFC)","  17 ","","","","","","","","","","","","17 "
"","","NEXO(FE)","","","  11 ","  51 ","  62 ","  55 ","  29 ","43 ","49 ","127 ","160 ","140 ","727 "
"","","Santa-Fe (DM)","  2,957 ","  2,494 ","  1,457 ","  841 ","  296 ","  10 ","  2 ","2 ","","","","","8,059 "
"","","Santa-Fe (TM)","","  1,647 ","  11,619 ","  10,996 ","  10,372 ","  9,064 ","  9,891 ","9,803 ","8,326 ","9,781 ","9,001 ","8,643 ","99,143 "
"","","Santa-Fe (NC)","  326 ","  231 ","  280 ","  203 ","  140 ","  119 ","  195 ","157 ","55 ","25 ","19 ","15 ","1,765 "
"","","Palisade (LX2)","","","","","","","","","","","","1,908 ","1,908 "
"","","Sub-total","9,603 ","10,504 ","20,855 ","18,284 ","17,577 ","16,499 ","18,007 ","18,147 ","15,950 ","20,173 ","19,018 ","20,076 ","204,693 "
"","","","","","","","","","","","","","","",""
"","CV","LCV","  10,150 ","  10,527 ","  13,421 ","  13,681 ","  12,377 ","  13,568 ","  12,528 ","8,750 ","11,750 ","14,242 ","13,948 ","13,233 ","148,175 "
"","","HCV","  2,315 ","  2,200 ","  2,952 ","  3,030 ","  2,840 ","  2,700 ","  2,507 ","2,253 ","1,803 ","2,400 ","2,300 ","1,951 ","29,251 "
